Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_desocupada_abierta,Poblacion_Economicamente_Activa,Tasa_de_desocupacion,,
2012,1,Nacional,Hombres,1552766,30708944,5.056396599,,
2012,1,Nacional,Mujeres,873910,18645932,4.686866819,,
2012,1,Aguascalientes,Hombres,22003,306225,7.185239611,,
2012,1,Aguascalientes,Mujeres,10596,189281,5.598026215,,
2012,1,Baja California,Hombres,57821,890352,6.494173091,,
2012,1,Baja California,Mujeres,25792,547845,4.707900957,,
2012,1,Baja California Sur,Hombres,9564,193069,4.953669414,,
2012,1,Baja California Sur,Mujeres,9427,129755,7.265230627,,
2012,1,Campeche,Hombres,4054,241425,1.679196438,,
2012,1,Campeche,Mujeres,3329,139388,2.388297414,,
2012,1,Coahuila,Hombres,40079,775989,5.164892801,,
2012,1,Coahuila,Mujeres,29213,453920,6.435715545,,
2012,1,Colima,Hombres,9879,194105,5.089513408,,
2012,1,Colima,Mujeres,3963,133673,2.964697433,,
2012,1,Chiapas,Hombres,26684,1311843,2.034084871,,
2012,1,Chiapas,Mujeres,13851,578949,2.392438712,,
2012,1,Chihuahua,Hombres,70675,919768,7.684002922,,
2012,1,Chihuahua,Mujeres,26581,469288,5.664112443,,
2012,1,Ciudad de México,Hombres,150351,2447457,6.143151851,,
2012,1,Ciudad de México,Mujeres,113964,1887144,6.03896682,,
2012,1,Durango,Hombres,23960,444461,5.390799193,,
2012,1,Durango,Mujeres,11484,238530,4.814488744,,
2012,1,Guanajuato,Hombres,106808,1436455,7.435527044,,
2012,1,Guanajuato,Mujeres,52157,906892,5.751180956,,
2012,1,Guerrero,Hombres,22713,820646,2.767697643,,
2012,1,Guerrero,Mujeres,11656,524919,2.220533073,,
2012,1,Hidalgo,Hombres,27673,691738,4.000503081,,
2012,1,Hidalgo,Mujeres,21293,390820,5.448288215,,
2012,1,Jalisco,Hombres,99034,2069290,4.785892746,,
2012,1,Jalisco,Mujeres,51775,1325517,3.906023084,,
2012,1,México,Hombres,277610,4247188,6.53632474,,
